round,bit,lat_cycles
0,1,86
1,1,86
2,0,110
3,1,86
4,1,86
5,1,86
6,1,86
7,0,110
8,1,86
9,0,110
10,1,86
11,0,110
12,1,86
13,1,86
14,0,110
15,1,86
16,1,86
17,0,110
18,1,86
19,1,86
20,1,86
21,1,86
22,1,86
23,0,110
24,1,86
25,1,86
26,1,86
27,0,110
28,1,86
29,1,86
30,1,86
31,1,86
32,1,86
33,1,86
34,0,110
35,0,110
36,1,86
37,0,110
38,1,86
39,0,110
40,1,86
41,1,86
42,1,86
43,1,86
44,1,86
45,1,86
46,1,86
47,0,110
48,1,86
49,0,110
50,1,86
51,1,86
52,1,86
53,0,110
54,1,86
55,0,110
56,1,86
57,0,110
58,1,86
59,1,86
60,1,86
61,1,86
62,1,86
63,0,110
